Designator,Mid X,Mid Y,Rotation,Layer
C10,152.2,-135.27,270.0,top
C100,133.6,-70.84,180.0,bottom
C101,143.76,-70.79,270.0,top
C102,141.57,-73.12,0.0,bottom
C103,141.405,-66.94,90.0,bottom
C104,141.075,-69.45,90.0,bottom
C105,143.3,-67.04,90.0,top
C106,138.07,-72.77,180.0,bottom
C107,134.86,-68.0,90.0,bottom
C108,134.577826,-64.4,270.0,bottom
C109,138.85,-63.475,0.0,bottom
C11,140.15,-135.2,270.0,top
C110,146.85,-84.2,180.0,bottom
C111,138.64,-77.16,270.0,top
C112,138.625,-134.8,270.0,bottom
C113,142.7,-115.4,180.0,bottom
C114,142.695,-114.475,180.0,bottom
C115,142.85,-113.895,0.0,top
C116,142.85,-112.97,0.0,top
C117,142.5,-110.92,270.0,top
C118,147.05,-94.545,270.0,bottom
C119,143.425,-110.92,270.0,top
C12,141.075,-135.2,270.0,top
C120,143.05,-119.1,90.0,bottom
C121,144.55,-117.65,0.0,bottom
C122,154.225,-119.825,90.0,top
C123,148.725,-119.8,90.0,top
C124,142.5,-88.11,180.0,bottom
C125,139.4,-89.1,180.0,bottom
C126,138.69,-74.595,90.0,bottom
C127,137.59,-74.49,90.0,bottom
C128,135.83,-73.05,180.0,bottom
C129,133.95,-83.88,270.0,bottom
C13,150.0,-75.75,180.0,bottom
C130,135.85,-83.88,180.0,bottom
C131,135.4,-85.78,180.0,bottom
C132,136.3,-88.3,0.0,bottom
C133,135.2,-92.45,0.0,bottom
C134,140.0,-95.025,270.0,bottom
C135,139.275,-92.8,0.0,bottom
C136,136.375,-90.075,180.0,bottom
C137,135.73,-95.1,0.0,bottom
C138,140.25,-97.1,0.0,bottom
C139,136.25,-84.54,180.0,top
C14,142.695,-117.25,180.0,bottom
C140,139.85,-111.7,270.0,bottom
C141,140.57,-98.995,90.0,bottom
C142,135.05,-97.475,180.0,bottom
C143,137.275,-101.8,180.0,bottom
C144,140.25,-100.9,180.0,bottom
C145,136.25,-98.8,180.0,bottom
C146,135.55,-95.9,180.0,bottom
C147,153.15,-125.05,90.0,top
C148,146.4,-100.85,270.0,bottom
C149,152.25,-108.85,0.0,bottom
C15,152.925,-134.695,90.0,bottom
C150,144.7,-102.9,180.0,bottom
C151,143.25,-92.875,180.0,bottom
C152,151.8,-85.7,180.0,bottom
C153,150.18,-92.41,180.0,bottom
C154,151.65,-95.1,180.0,bottom
C155,153.275,-91.15,180.0,bottom
C156,149.15,-87.9,180.0,bottom
C157,152.225,-86.8,180.0,bottom
C158,153.51,-98.0,90.0,bottom
C159,152.35,-102.6,0.0,bottom
C16,142.7,-116.325,180.0,bottom
C160,153.25,-104.7,0.0,bottom
C161,152.0,-98.41,270.0,bottom
C162,153.25,-105.8,0.0,bottom
C163,150.475,-102.02,270.0,bottom
C164,153.25,-101.1,180.0,bottom
C165,136.35,-109.7,0.0,bottom
C166,135.05,-107.35,180.0,bottom
C167,138.1,-106.3,180.0,bottom
C168,137.28,-108.1,0.0,bottom
C169,140.3,-105.9,0.0,bottom
C17,148.45,-101.0,270.0,bottom
C170,141.25,-105.2,180.0,bottom
C171,134.305,-104.1,180.0,bottom
C172,146.85,-82.15,0.0,bottom
C173,149.15,-125.05,270.0,top
C18,147.05,-99.0,270.0,bottom
C19,147.05,-96.975,270.0,bottom
C2,150.2,-134.695,90.0,bottom
C20,145.46,-92.89,180.0,bottom
C21,145.9,-95.675,270.0,bottom
C22,145.9,-98.65,90.0,bottom
C23,148.6,-98.8,270.0,bottom
C24,143.75,-111.55,90.0,bottom
C25,144.57,-101.05,180.0,bottom
C26,150.48,-99.0,270.0,bottom
C27,142.05,-99.625,270.0,bottom
C28,143.43,-105.0,180.0,bottom
C29,142.2,-101.78,270.0,bottom
C3,142.275,-135.25,270.0,top
C30,142.15,-95.2,90.0,bottom
C31,143.12,-97.0,90.0,bottom
C32,141.825,-103.5,0.0,bottom
C33,142.045,-97.4,90.0,bottom
C34,138.025,-103.9,0.0,bottom
C35,145.45,-104.6,90.0,bottom
C36,146.75,-101.9,0.0,bottom
C37,148.75,-105.0,270.0,bottom
C38,143.05,-107.0,90.0,bottom
C39,151.4,-106.6,270.0,bottom
C4,143.2,-135.25,270.0,top
C40,141.95,-107.05,90.0,bottom
C41,143.4,-124.675,90.0,bottom
C42,140.625,-127.975,0.0,bottom
C43,141.075,-122.95,0.0,bottom
C44,138.4,-127.15,90.0,bottom
C45,146.8,-122.3,270.0,top
C46,139.075,-122.995,90.0,bottom
C47,144.05,-99.475,90.0,bottom
C48,136.615,-123.8,0.0,top
C49,134.21,-124.485,270.0,top
C5,145.3,-135.27,270.0,top
C50,143.875,-126.85,0.0,bottom
C51,146.93,-129.03,90.0,top
C52,136.75,-128.39,0.0,bottom
C53,134.5,-129.185,90.0,top
C54,141.5,-101.595,270.0,bottom
C56,146.55,-108.6,270.0,bottom
C57,146.85,-83.175,180.0,bottom
C58,149.45,-73.7,90.0,bottom
C59,150.45,-80.75,180.0,bottom
C6,146.23,-135.27,270.0,top
C60,146.15,-75.45,90.0,bottom
C61,141.6,-80.25,90.0,bottom
C62,152.3,-80.75,180.0,bottom
C63,146.825,-79.925,180.0,bottom
C64,151.4,-74.4,180.0,bottom
C65,153.22,-74.4,180.0,bottom
C66,139.725,-132.825,90.0,bottom
C67,138.625,-133.4,90.0,bottom
C68,133.925,-134.3,270.0,bottom
C69,135.025,-133.4,270.0,bottom
C7,148.3,-135.27,270.0,top
C70,135.65,-135.23,180.0,top
C71,135.025,-134.88,270.0,bottom
C72,133.8,-133.0,90.0,top
C73,148.15,-75.1,0.0,bottom
C74,143.8,-74.7,270.0,bottom
